piezo_rms,piezo_peak,mic_rms,mic_zcr,mic_energy,ratio,label
1977.99,1987.0,393.98,0.0,2.6,5.021,1
1976.27,2004.0,512.07,0.094,2.71,3.859,0
1984.75,2003.0,437.02,0.109,2.64,4.542,0
1985.86,1989.0,454.25,0.0,2.66,4.372,2
1987.07,1990.0,389.31,0.0,2.59,5.104,2
1991.27,2002.0,769.37,0.016,2.89,2.588,2
1981.79,1991.0,363.52,0.188,2.56,5.452,0
1982.53,1991.0,424.83,0.141,2.63,4.667,0
1976.78,2040.0,477.23,0.188,2.68,4.142,0
1985.14,2002.0,447.52,0.031,2.65,4.436,0
1979.49,1992.0,473.99,0.062,2.68,4.176,0
1979.69,1992.0,476.11,0.172,2.68,4.158,0
1975.62,1990.0,455.87,0.094,2.66,4.334,0
1981.47,2004.0,508.5,0.094,2.71,3.897,0
1979.35,1987.0,477.07,0.0,2.68,4.149,2
1977.22,1993.0,473.35,0.031,2.68,4.177,0
1989.74,2021.0,751.96,0.25,2.88,2.646,2
1975.41,1984.0,1288.33,0.047,3.11,1.533,1
1979.38,1988.0,455.71,0.094,2.66,4.344,1
1975.87,2000.0,550.0,0.062,2.74,3.593,0
1987.84,2024.0,1345.56,0.203,3.13,1.477,1
1978.8,1986.0,1355.18,0.188,3.13,1.46,2
1974.17,1976.0,422.17,0.125,2.63,4.676,1
1979.55,2002.0,792.32,0.047,2.9,2.498,2
1974.05,1976.0,405.65,0.0,2.61,4.866,1
1974.03,1990.0,498.53,0.125,2.7,3.96,0
1979.48,2023.0,498.2,0.125,2.7,3.973,0
1985.37,1992.0,511.73,0.094,2.71,3.88,0
1981.31,1992.0,544.63,0.031,2.74,3.638,0
1984.32,1987.0,387.6,0.0,2.59,5.119,1
1982.66,1987.0,426.32,0.0,2.63,4.651,2
1980.47,1986.0,392.97,0.0,2.59,5.04,1
1983.29,1988.0,473.2,0.0,2.68,4.191,2
1984.89,1993.0,449.12,0.141,2.65,4.42,0
1991.42,2001.0,373.77,0.0,2.57,5.328,2
2002.2,2041.0,615.91,0.141,2.79,3.251,2
1976.29,1991.0,529.02,0.125,2.72,3.736,0
1978.43,1986.0,420.96,0.0,2.62,4.7,1
1977.22,1986.0,369.4,0.0,2.57,5.352,2
2032.54,2048.0,450.68,0.0,2.65,4.51,2
1984.75,1992.0,572.01,0.031,2.76,3.47,0
1981.47,1988.0,416.72,0.0,2.62,4.755,1
1976.97,1988.0,396.9,0.0,2.6,4.981,1
1984.33,1993.0,420.41,0.031,2.62,4.72,0
1976.57,1992.0,476.61,0.141,2.68,4.147,0
1975.51,1991.0,504.58,0.156,2.7,3.915,0
1988.01,2004.0,792.93,0.141,2.9,2.507,2
1977.52,1992.0,446.19,0.156,2.65,4.432,0
1986.12,1993.0,446.16,0.125,2.65,4.452,0
1985.55,1988.0,609.26,0.031,2.78,3.259,1
1978.46,1992.0,533.24,0.109,2.73,3.71,0
1984.61,1988.0,541.03,0.0,2.73,3.668,2
1984.05,1987.0,396.56,0.0,2.6,5.003,2
1979.25,2003.0,1470.39,0.125,3.17,1.346,2
1987.59,1991.0,459.42,0.0,2.66,4.326,1
1969.36,1973.0,468.84,0.0,2.67,4.201,1
1977.64,1986.0,592.51,0.094,2.77,3.338,1
1983.5,1993.0,423.58,0.0,2.63,4.683,1
1982.94,1993.0,418.98,0.0,2.62,4.733,1
1980.67,1992.0,507.25,0.219,2.71,3.905,0
1974.48,1977.0,1229.29,0.0,3.09,1.606,1
1988.84,1991.0,386.97,0.0,2.59,5.14,2
1997.24,2005.0,488.77,0.188,2.69,4.086,2
1985.77,1992.0,399.77,0.0,2.6,4.967,1
1980.9,1988.0,386.7,0.0,2.59,5.123,2
1976.45,2002.0,473.98,0.094,2.68,4.17,0
1975.56,1984.0,395.61,0.0,2.6,4.994,2
1982.79,1992.0,561.25,0.109,2.75,3.533,0
1986.89,1990.0,420.54,0.0,2.62,4.725,2
1979.32,1990.0,1484.86,0.297,3.17,1.333,1
1984.04,2005.0,380.19,0.0,2.58,5.219,1
1979.62,2007.0,1323.58,0.25,3.12,1.496,2
1981.05,2001.0,433.22,0.125,2.64,4.573,0
1984.69,1988.0,394.36,0.0,2.6,5.033,1
1978.58,1993.0,514.61,0.062,2.71,3.845,0
1986.66,1988.0,399.86,0.0,2.6,4.968,2
1985.69,1990.0,455.04,0.0,2.66,4.364,1
1976.69,1985.0,504.84,0.062,2.7,3.916,1
1976.75,2006.0,1374.35,0.25,3.14,1.438,1
1980.13,2002.0,389.87,0.0,2.59,5.079,1
1987.2,1990.0,394.3,0.0,2.6,5.04,2
1977.44,1987.0,378.34,0.0,2.58,5.227,2
1978.11,1986.0,1090.61,0.078,3.04,1.814,1
1977.71,2048.0,301.3,0.172,2.48,6.564,0
1980.65,1987.0,409.66,0.0,2.61,4.835,1
1974.59,1977.0,362.42,0.0,2.56,5.448,1
1982.43,2008.0,1341.12,0.203,3.13,1.478,2
1975.06,1990.0,528.35,0.062,2.72,3.738,0
1975.44,1989.0,482.31,0.125,2.68,4.096,0
1985.68,1992.0,469.64,0.219,2.67,4.228,0
1979.74,1986.0,396.61,0.0,2.6,4.992,2
1982.57,1992.0,383.7,0.156,2.58,5.167,0
1994.68,2006.0,383.7,0.0,2.58,5.199,1
1983.55,1991.0,539.15,0.125,2.73,3.679,0
1988.17,1990.0,425.45,0.0,2.63,4.673,2
1977.35,1992.0,527.65,0.156,2.72,3.747,2
1985.82,1993.0,516.33,0.094,2.71,3.846,0
1982.08,1988.0,400.37,0.0,2.6,4.951,1
1979.33,1986.0,407.68,0.0,2.61,4.855,1
1982.27,1987.0,457.22,0.0,2.66,4.336,1
1986.64,1989.0,414.27,0.0,2.62,4.796,2
1975.31,1991.0,544.39,0.094,2.74,3.629,0
1989.3,2023.0,668.88,0.0,2.83,2.974,2
1984.09,1992.0,456.21,0.344,2.66,4.349,0
1981.08,1987.0,418.5,0.0,2.62,4.734,2
1975.95,1990.0,512.28,0.156,2.71,3.857,0
1983.8,1989.0,370.32,0.0,2.57,5.357,1
1982.48,1988.0,1650.25,0.266,3.22,1.201,2
1985.24,1988.0,359.82,0.0,2.56,5.517,2
1974.81,1984.0,375.96,0.0,2.58,5.253,1
1976.06,2000.0,553.44,0.094,2.74,3.57,0
1981.62,2003.0,401.23,0.0,2.6,4.939,2
1978.01,2004.0,409.07,0.0,2.61,4.835,1
1977.75,1986.0,427.66,0.031,2.63,4.625,1
1972.55,1975.0,382.07,0.0,2.58,5.163,1
1975.47,1991.0,573.99,0.188,2.76,3.442,0
1985.63,1988.0,301.16,0.0,2.48,6.593,2
1970.34,1992.0,1540.91,0.156,3.19,1.279,2
1984.61,1988.0,458.32,0.0,2.66,4.33,2
1994.28,2005.0,389.92,0.0,2.59,5.115,2
1986.31,1988.0,188.29,0.078,2.27,10.549,1
1994.53,2002.0,694.78,0.438,2.84,2.871,2
1988.77,1992.0,357.25,0.0,2.55,5.567,2
1989.21,2020.0,593.25,0.453,2.77,3.353,2
1978.72,1993.0,460.68,0.0,2.66,4.295,0
1995.1,2007.0,270.94,0.0,2.43,7.364,1
1976.41,1988.0,438.58,0.031,2.64,4.506,1
1989.25,1992.0,380.97,0.0,2.58,5.222,2
1985.06,1992.0,424.41,0.219,2.63,4.677,0
1990.98,1993.0,361.29,0.031,2.56,5.511,2
1983.99,1990.0,372.24,0.0,2.57,5.33,1
1986.8,1992.0,434.0,0.0,2.64,4.578,1
1975.51,1992.0,442.8,0.078,2.65,4.461,0
1974.98,1990.0,415.31,0.188,2.62,4.755,0
1984.29,1991.0,505.69,0.062,2.7,3.924,0
2011.27,2019.0,403.79,0.0,2.61,4.981,2
1980.37,2042.0,499.59,0.156,2.7,3.964,0
1985.48,2019.0,799.09,0.297,2.9,2.485,2
1976.97,1985.0,365.83,0.0,2.56,5.404,1
1987.54,2024.0,256.72,0.0,2.41,7.742,2
1984.92,1988.0,385.15,0.0,2.59,5.154,2
1979.91,1992.0,475.7,0.031,2.68,4.162,0
2000.25,2004.0,408.66,0.0,2.61,4.895,1
1983.63,1992.0,421.61,0.0,2.62,4.705,0
1973.5,1993.0,481.59,0.188,2.68,4.098,0
1995.3,2003.0,396.24,0.062,2.6,5.036,2
1981.3,1991.0,411.92,0.188,2.61,4.81,0
1985.94,1991.0,1075.77,0.047,3.03,1.846,2
1964.77,1991.0,1497.47,0.188,3.18,1.312,1
1986.65,1990.0,403.26,0.0,2.61,4.926,2
1986.17,1988.0,402.49,0.0,2.6,4.935,2
1985.38,1992.0,418.14,0.125,2.62,4.748,0
1987.77,1991.0,361.26,0.156,2.56,5.502,1
1941.55,1955.0,1145.48,0.047,3.06,1.695,1
1989.14,1991.0,373.47,0.0,2.57,5.326,2
1974.11,1977.0,333.88,0.0,2.52,5.913,2
1975.56,2000.0,1459.99,0.172,3.16,1.353,1
1979.07,1989.0,395.66,0.0,2.6,5.002,1
1978.13,1988.0,371.62,0.0,2.57,5.323,1
1979.52,1987.0,346.04,0.0,2.54,5.72,2
1975.84,1991.0,503.46,0.047,2.7,3.925,0
1985.94,2003.0,761.11,0.188,2.88,2.609,2
1987.27,1989.0,388.24,0.0,2.59,5.119,2
