piezo_rms,piezo_peak,mic_rms,mic_zcr,mic_energy,ratio,label
2001.91,2009.0,1541.07,0.062,3.19,1.299,1
1979.59,2002.0,1618.5,0.125,3.21,1.223,1
1975.8,1986.0,404.13,0.0,2.61,4.889,1
1980.63,1992.0,741.8,0.141,2.87,2.67,2
1981.97,2003.0,397.27,0.0,2.6,4.989,1
1982.03,1990.0,846.57,0.094,2.93,2.341,2
1985.86,2002.0,631.67,0.047,2.8,3.144,2
1998.18,2017.0,1229.7,0.109,3.09,1.625,1
1937.04,1954.0,1079.36,0.016,3.03,1.795,1
1977.16,1987.0,370.12,0.0,2.57,5.342,1
1977.7,1992.0,494.42,0.234,2.69,4.0,0
1975.87,1990.0,1439.15,0.109,3.16,1.373,0
2001.06,2022.0,558.4,0.188,2.75,3.584,3
1974.52,1986.0,908.39,0.062,2.96,2.174,1
1978.96,1991.0,849.72,0.078,2.93,2.329,2
1984.68,2008.0,635.99,0.062,2.8,3.121,3
1980.11,1992.0,883.04,0.094,2.95,2.242,2
1972.01,2009.0,537.85,0.188,2.73,3.666,3
1976.23,2007.0,581.04,0.203,2.76,3.401,0
1989.41,2000.0,464.33,0.0,2.67,4.285,1
1987.16,2006.0,1451.67,0.203,3.16,1.369,0
1943.0,1961.0,1577.05,0.109,3.2,1.232,1
1997.26,2018.0,1577.15,0.078,3.2,1.266,1
1974.2,2007.0,1078.73,0.188,3.03,1.83,3
1985.1,1993.0,398.02,0.0,2.6,4.987,1
1974.91,2000.0,807.68,0.156,2.91,2.445,2
1983.06,2001.0,575.87,0.219,2.76,3.444,0
1966.1,1973.0,857.06,0.062,2.93,2.294,1
1959.68,1973.0,1156.76,0.0,3.06,1.694,1
1980.69,1992.0,820.33,0.094,2.91,2.415,0
1977.27,1992.0,972.82,0.203,2.99,2.033,2
1989.25,2003.0,351.29,0.062,2.55,5.663,1
1977.9,2004.0,825.1,0.109,2.92,2.397,2
1983.26,1993.0,751.6,0.109,2.88,2.639,2
1974.36,1986.0,371.64,0.109,2.57,5.313,1
1962.19,1990.0,1173.95,0.219,3.07,1.671,3
1979.28,1992.0,843.81,0.188,2.93,2.346,2
1977.83,1991.0,509.2,0.188,2.71,3.884,0
1995.71,2022.0,298.85,0.094,2.48,6.678,3
2034.95,2048.0,340.53,0.0,2.53,5.976,3
1967.46,1975.0,381.03,0.0,2.58,5.164,0
1978.76,1990.0,1032.97,0.094,3.01,1.916,2
1973.54,1987.0,1463.42,0.078,3.17,1.349,0
1975.57,1991.0,868.79,0.203,2.94,2.274,2
1977.04,2018.0,348.7,0.0,2.54,5.67,3
1976.16,1988.0,1054.01,0.156,3.02,1.875,1
1977.91,2000.0,1401.65,0.203,3.15,1.411,0
1976.06,1988.0,594.64,0.188,2.77,3.323,0
1972.42,1987.0,536.8,0.109,2.73,3.674,1
1975.21,1989.0,411.82,0.172,2.61,4.796,2
1974.77,1989.0,943.79,0.109,2.97,2.092,2
1985.81,1993.0,870.55,0.156,2.94,2.281,2
1966.05,2003.0,469.35,0.0,2.67,4.189,0
1968.14,1992.0,941.35,0.141,2.97,2.091,3
1995.87,2005.0,1170.18,0.078,3.07,1.706,1
1977.48,2008.0,1467.58,0.234,3.17,1.347,3
1976.54,1989.0,1010.4,0.172,3.0,1.956,2
1971.79,2020.0,1124.26,0.203,3.05,1.754,3
1984.46,1992.0,336.73,0.0,2.53,5.893,1
2031.06,2048.0,899.05,0.453,2.95,2.259,0
1973.23,1989.0,1268.65,0.156,3.1,1.555,0
1975.05,2004.0,756.47,0.156,2.88,2.611,0
1979.87,1991.0,466.98,0.0,2.67,4.24,2
1979.2,1992.0,1078.19,0.203,3.03,1.836,3
1975.32,1990.0,649.87,0.094,2.81,3.04,2
1959.0,1974.0,1511.81,0.062,3.18,1.296,1
1956.85,1988.0,1086.89,0.172,3.04,1.8,3
1965.25,1987.0,1108.44,0.141,3.04,1.773,0
1989.41,2010.0,1123.4,0.234,3.05,1.771,3
1977.35,1992.0,819.94,0.078,2.91,2.412,2
2039.83,2048.0,1176.94,0.172,3.07,1.733,3
1981.39,1991.0,1120.53,0.141,3.05,1.768,2
1958.35,1973.0,1459.61,0.125,3.16,1.342,0
1980.11,1991.0,1043.31,0.141,3.02,1.898,2
1976.7,1992.0,412.43,0.0,2.62,4.793,2
1975.33,1989.0,968.88,0.234,2.99,2.039,2
1953.88,2003.0,841.27,0.203,2.92,2.323,3
1974.02,1989.0,1173.18,0.188,3.07,1.683,0
1974.87,1991.0,460.89,0.125,2.66,4.285,2
1978.54,1991.0,504.48,0.031,2.7,3.922,1
1965.21,1976.0,735.24,0.062,2.87,2.673,1
1986.19,1992.0,838.63,0.125,2.92,2.368,1
1983.04,1992.0,607.6,0.172,2.78,3.264,0
1972.86,1989.0,989.25,0.109,3.0,1.994,2
1979.79,1991.0,383.36,0.0,2.58,5.164,2
1990.51,2007.0,1145.03,0.203,3.06,1.738,3
1966.15,2005.0,364.82,0.062,2.56,5.389,3
1971.69,1987.0,892.77,0.141,2.95,2.209,0
1962.59,1975.0,788.92,0.156,2.9,2.488,1
1974.77,1988.0,989.51,0.078,3.0,1.996,1
1970.42,2003.0,1218.19,0.219,3.09,1.618,3
1989.07,2002.0,395.43,0.0,2.6,5.03,1
2012.51,2028.0,429.44,0.062,2.63,4.686,3
1978.31,1990.0,949.69,0.125,2.98,2.083,0
1982.69,1992.0,1361.53,0.109,3.13,1.456,0
2033.41,2048.0,868.52,0.031,2.94,2.341,3
