piezo_rms,piezo_peak,mic_rms,mic_zcr,mic_energy,ratio,label
1974.96,1987.0,771.26,0.406,2.89,2.561,3
1982.07,1993.0,498.56,0.25,2.7,3.976,0
1984.31,1992.0,594.55,0.188,2.77,3.337,0
1990.83,2003.0,755.82,0.281,2.88,2.634,3
1980.79,1993.0,1494.46,0.141,3.17,1.325,2
1981.39,1992.0,500.38,0.344,2.7,3.96,0
1965.89,1977.0,1604.42,0.109,3.21,1.225,1
1980.81,1993.0,572.66,0.156,2.76,3.459,0
1959.17,1973.0,1446.5,0.125,3.16,1.354,3
1988.6,2006.0,487.2,0.031,2.69,4.082,1
1978.24,1992.0,592.73,0.125,2.77,3.337,0
1979.24,1992.0,573.67,0.469,2.76,3.45,0
1959.94,1972.0,1420.79,0.281,3.15,1.379,3
1985.58,1992.0,912.1,0.188,2.96,2.177,3
1979.22,1988.0,405.72,0.156,2.61,4.878,1
1980.28,1993.0,521.43,0.188,2.72,3.798,0
